eventID,occurrenceID,measurementType,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementTypeID,measurementID
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-1,Abundance of cells per milliliter,12671,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-2-FC-5.3-1-1
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-1,Particulate Organic Carbon per cell,261.2,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-2-FC-5.3-1-2
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-1,Biomass as carbon per unit volume,3.3,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-2-FC-5.3-1-3
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-2-FC-5.3-1-4
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-1,NA,OraPicoProk,http://vocab.nerc.ac.uk/collection/F02/current/F0200003/,NA,NA,NA,IYS2022-TINRO-3-2-FC-5.3-1-5
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-2,Abundance of cells per milliliter,4475,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-2-FC-5.3-2-1
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-2,Particulate Organic Carbon per cell,1717.3,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-2-FC-5.3-2-2
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-2,Biomass as carbon per unit volume,7.7,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-2-FC-5.3-2-3
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-2,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-2-FC-5.3-2-4
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-2,NA,RedPico,http://vocab.nerc.ac.uk/collection/F02/current/F0200004/,NA,NA,NA,IYS2022-TINRO-3-2-FC-5.3-2-5
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-3,Abundance of cells per milliliter,318,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-2-FC-5.3-3-1
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-3,Particulate Organic Carbon per cell,18552.5,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-2-FC-5.3-3-2
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-3,Biomass as carbon per unit volume,5.9,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-2-FC-5.3-3-3
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-3,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-2-FC-5.3-3-4
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-3,NA,RedRedNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200005/,NA,NA,NA,IYS2022-TINRO-3-2-FC-5.3-3-5
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-4,Abundance of cells per milliliter,13,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-2-FC-5.3-4-1
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-4,Particulate Organic Carbon per cell,19977.6,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-2-FC-5.3-4-2
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-4,Biomass as carbon per unit volume,NA,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-2-FC-5.3-4-3
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-4,Biomass as carbon per unit volume,0.3,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-2-FC-5.3-4-4
IYS2022-TINRO-3-2-FC-5.3,IYS2022-TINRO-3-2-FC-5.3-4,NA,OraNano,http://vocab.nerc.ac.uk/collection/F02/current/F0200006/,NA,NA,NA,IYS2022-TINRO-3-2-FC-5.3-4-5
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-1,Abundance of cells per milliliter,16543,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-3-FC-4-1-1
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-1,Particulate Organic Carbon per cell,273.6,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-3-FC-4-1-2
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-1,Biomass as carbon per unit volume,4.5,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-3-FC-4-1-3
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-1,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-3-FC-4-1-4
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-1,NA,OraPicoProk,http://vocab.nerc.ac.uk/collection/F02/current/F0200003/,NA,NA,NA,IYS2022-TINRO-3-3-FC-4-1-5
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-2,Abundance of cells per milliliter,5494,NA,cells per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UCML/,http://vocab.nerc.ac.uk/collection/P01/current/PYTTAFTX/,IYS2022-TINRO-3-3-FC-4-2-1
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-2,Particulate Organic Carbon per cell,1791.6,NA,femtogram,http://vocab.nerc.ac.uk/collection/P06/current/FMTG/, ,IYS2022-TINRO-3-3-FC-4-2-2
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-2,Biomass as carbon per unit volume,9.8,NA,microgram carbon per liter,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/, ,IYS2022-TINRO-3-3-FC-4-2-3
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-2,Biomass as carbon per unit volume,NA,NA,microgram carbon per milliliter,http://vocab.nerc.ac.uk/collection/P06/current/UUGS/, ,IYS2022-TINRO-3-3-FC-4-2-4
IYS2022-TINRO-3-3-FC-4,IYS2022-TINRO-3-3-FC-4-2,NA,RedPico,http://vocab.nerc.ac.uk/collection/F02/current/F0200004/,NA,NA,NA,IYS2022-TINRO-3-3-FC-4-2-5
